step,mo,inflow,precip,evap,released,supplied,storage,% full,d_stage,% redu,deficit
86,3,4874.7641611277495,6272.940061634203,5694.596827296686,368.9595004132611,5549.088375365655,215392.20077873982,1.8752768682642544,0,1.0,0.0
87,4,282.9335227003901,5817.711565398873,-27.084913072292693,595.0959684084856,7127.688201825038,213797.14660967785,1.6256040048002176,0,1.0,0.0
88,5,7184.6931555442525,6200.24302457759,1171.2675949878758,614.9325006887685,7059.7751904193865,218336.10750370368,1.6601159387711173,0,1.0,0.0
89,6,2213.2747366113385,1593.6210353196948,1062.677050138882,595.0959684084856,5400.953058966329,215084.27719812104,1.635390686579905,0,1.0,0.0
90,7,5451.267786094996,2825.5912436415965,3091.0918257330777,614.9325006887685,5705.68864129157,213949.42326014422,1.6267618384605873,0,1.0,0.0
91,8,5136.618783378439,6014.698659018788,2.7057707959611434,614.9325006887685,7241.241586756323,217241.86084430042,1.6517958476007113,0,1.0,0.0
92,9,2887.4279720136137,6329.433485191024,4004.497750182578,357.05758104509135,5885.505341126838,216211.66162915056,1.8824113697534797,0,1.0,0.0
93,10,10911.282268559258,4013.657933444367,4094.3517062798783,368.9595004132611,5533.920686542866,221139.36993791818,1.9253136539196463,0,1.0,0.0
94,11,3179.3074943264737,5402.4048533716705,229.260889410245,357.05758104509135,6552.879085597637,222581.88472956335,1.937872672357273,0,1.0,0.0
95,12,5256.75260042054,1772.2825030654494,957.5963549600856,368.9595004132611,5676.2739699315725,222608.09000774438,1.9381008243136653,0,1.0,0.0
96,1,7707.903330638757,2128.323928655911,3608.427035938599,368.9595004132611,6622.87884665617,221844.051884031,1.9314488517042043,0,1.0,0.0
97,2,11725.822399206078,5856.4298392699275,1386.783834554255,333.25374230875195,5984.111040391591,231722.15550525242,2.0174509407130943,0,1.0,0.0
98,3,4840.6711403335175,7135.279853368615,2851.3702748609358,368.9595004132611,6762.041827246232,233715.73489643412,2.03480771270305,0,1.0,0.0
99,4,9737.582994120987,2921.561366707232,5266.90371437592,595.0959684084856,7832.1819547611685,232680.69761971675,1.7691848553099356,0,1.0,0.0
100,5,2041.832089066239,2206.1676405810867,3205.9194140078616,614.9325006887685,6666.869502292461,226440.975932375,1.7217412073257097,0,1.0,0.0
101,6,11194.569697328776,4895.496729389823,5846.005121409922,595.0959684084856,6314.826315524042,229775.11495375115,1.7470922928367096,0,1.0,0.0
102,7,4996.6903352956415,3884.755726724281,6284.157564078225,614.9325006887685,8041.0435892873675,223716.4273617167,1.7010251353950547,0,1.0,0.0
103,8,6979.159232382977,5438.274836868979,1182.019786166522,614.9325006887685,6861.0962889561,227475.81285515727,1.7296095772860496,0,1.0,0.0
104,9,7490.378506302266,3659.5057082873536,2935.8461669228855,357.05758104509135,5612.205256014482,229720.58806576446,2.0000246220907294,0,1.0,0.0
105,10,286.9608969116354,4485.908836299903,7358.465358012385,368.9595004132611,7902.745576639461,218863.28736391087,1.905497314303525,0,1.0,0.0
106,11,1936.4559343947105,5824.881454868097,3081.0692817587988,357.05758104509135,6142.438417053139,217044.05947331665,1.889658505056959,0,1.0,0.0
107,12,1978.7428775738233,2077.612401584134,-5.405601381935412,368.9595004132611,6124.198920339956,214612.6619331033,1.8684899411617395,0,1.0,0.0
108,1,11376.628553706389,6898.697994385322,4377.043788244482,368.9595004132611,6244.205024839445,221897.78016769784,1.9319166281936393,0,1.0,0.0
109,2,8671.621512982705,2845.892001992499,3747.2178547950753,333.25374230875195,5821.508032467073,223513.31405310213,1.9459820089931412,0,1.0,0.0
110,3,4888.128113059259,1844.3355401573353,1629.8906892301748,368.9595004132611,5743.270482322455,222503.65703435283,1.937191595759534,0,1.0,0.0
111,4,401.4115267283027,1316.4615035972674,1527.9786929813854,595.0959684084856,5747.853911658466,216350.60149163008,1.6450191679490336,0,1.0,0.0
