mo,inflow,precip,evap,outlow,demand,storage,% full,% redu
10,6950.281851389972,4830.728217707496,742.0407523883478,3689.2561983471073,6653.808803015573,113017.6102935922,0.9839692872992684,1.0
11,7081.527090733702,2802.4999815331394,4176.37411234231,3570.2479338842977,6663.0017579708965,108492.01356166153,0.9445679216240096,1.0
12,48492.05289382127,2418.7398007645243,1028.745134596029,3689.2561983471073,5777.451501730813,148907.3534215734,1.2964374493428232,1.0
1,87996.34140253691,7960.094549194182,2770.03774138671,35702.47933884298,6670.781424487196,199720.49086858763,1.738833696346226,1.0
2,19707.509038167766,2084.503265474981,3655.166373705055,55537.19008264461,6061.626450737218,156258.5202651435,1.3604391777557252,1.0
3,144587.57822190877,2376.422269023664,3410.516463760374,41652.89256198347,6605.4004407164575,251553.71128961566,2.190111128452721,1.0
4,66482.06770168849,1728.312376709422,5923.294346383802,120991.73553719006,9289.03594827173,183560.025536168,1.3956964223549537,1.0
5,129561.76176053406,1903.9549205693475,1250.3888851094816,53553.71900826446,5627.396861846028,254594.23746205142,1.9358041890659825,1.0
6,20052.304665004398,4084.240005077503,1531.122683343885,126942.14876033056,5927.0650799397245,144330.44560851913,1.0974147883467968,1.0
7,11155.403807837682,5525.308100206021,5802.842072130792,17851.239669421488,5764.757158138902,131592.31861687166,1.0005605946419565,1.0
8,48476.835410814994,4217.105273732392,2397.551089737739,5950.413223140496,6134.5290351367985,169803.765953404,1.291100869872495,1.0
9,17883.9160633786,3849.6711539731477,4613.014502462611,55537.19008264461,6026.6240966011765,125360.52448904736,1.0914308453037966,1.0
10,51148.32090504331,5196.143230823698,2830.1884664899553,11900.826446280993,6203.313665453011,160770.6600466904,1.3997233826996258,1.0
11,66102.6209705938,3255.518889939587,4474.571439187101,47603.30578512396,6445.213782311818,171605.7089006009,1.494056958422378,1.0
12,43834.69459991377,2574.7369288328628,1011.1235019106825,57520.66115702477,5876.26415756936,153607.09161284275,1.337354949071789,1.0
1,60213.89685140301,3857.2426944736217,1116.1407684296428,39669.42148760331,6218.737540370114,170673.9313623163,1.4859445901119381,1.0
2,101534.6371182985,1864.459133788041,-1.461038604436908,55537.19008264461,5456.669646336742,213080.6289240259,1.855151547046479,1.0
3,7317.715755561447,669.5069965852308,278.19825527988723,61487.603305785095,5634.56358044233,153667.48653466525,1.3378807675528896,1.0
4,6791.486791784915,293.647913428169,477.0940170722897,23801.652892561982,5585.92465133334,130887.94967891072,0.9952049339862199,1.0
5,48033.70099497794,2811.49040886102,4652.140410187887,6148.760330578512,8276.098062603905,162656.14227937936,1.2367540001712256,1.0
6,14861.683142671498,3427.5625758127135,1015.3436409224232,35702.479338842975,6216.448743178297,138011.11627491988,1.049365844592159,1.0
7,4335.024419572644,1932.1946931053244,3571.054233439616,11900.826446280991,7689.788093914192,121116.66661396305,0.9209091020057549,1.0
8,76936.17828360217,1979.034163197517,570.1854353268864,6148.760330578512,6183.46173727876,187129.4715575786,1.4228366617797423,1.0
9,47164.38533925517,2075.3093253548723,-1.972774631518405,59504.13223140493,6020.905585139611,170846.10118027558,1.487443558393357,1.0
10,20815.69237210272,4513.584768675239,3431.567569010076,57520.66115702477,5914.720954994679,129308.42864002402,1.1258026252739364,1.0
11,18831.066097579107,5034.856390122135,2100.65920791174,15867.768595041325,6396.167206166986,128809.7561186052,1.1214610147565882,1.0
12,5182.4767410259365,2278.807437901938,9.50903437071247,15867.768595041325,6308.694366016611,114085.06830210441,0.9932629353699461,1.0
1,62829.756591421385,1354.578697125995,1.4276115635002498,3689.2561983471073,6079.194175317008,168499.5256054242,1.4670134830273827,1.0
2,42092.383557797424,4672.879945658002,2786.182211184263,55537.19008264461,5613.760668464057,151327.65614658667,1.3175094180492328,1.0
3,104372.54216632704,2042.355660045112,2337.9867130224884,37685.950413223145,6045.176983810429,211673.43986290274,1.842900086287649,1.0
4,21057.25680232433,1631.8739238058624,185.3907737772097,83305.78512396694,6001.181133987232,144870.21355730153,1.1015189073826106,1.0
5,49061.10144431123,1409.3059421710786,2581.9239849874866,17851.239669421488,7393.905756320084,167513.5515330548,1.273687252372876,1.0
6,424.84125687267033,3466.632235935511,2421.735574758699,41652.89256198347,5891.727455219461,121438.66943390135,0.9233574465320937,1.0
7,46879.12359717962,1939.0775398182886,2246.842520855542,6148.760330578512,6181.669442282926,155679.5982771823,1.1837079326746303,1.0
8,41310.58153033432,1824.656629786623,2340.2056974562,29752.066115702477,6379.331099360818,160343.23352478372,1.2191678265770924,1.0
9,19452.531127627903,1906.8440485486935,1375.5082995071716,45619.834710743795,5727.888147196403,128979.37754351295,1.1229377958718816,1.0
10,105331.19865579544,7750.008957234459,2148.7699575481092,15867.768595041325,7650.484696618397,216393.56190733498,1.8839950546908952,1.0
11,88349.41424854938,3906.448393203231,1284.6736754378944,59504.13223140493,6264.844448254001,241595.77419399066,2.103413982392921,1.0
12,19953.341186147172,5802.069791349466,7087.429190162948,71404.95867768592,6763.032864605909,182095.7644390325,1.5853869064284145,1.0
1,108680.1567483028,4057.8684223699092,-2.991832923493348,61487.603305785095,6858.361705961716,226490.81643088188,1.971905145086578,1.0
2,51991.846665094105,5501.148244324344,15281.121833147394,57520.66115702477,13052.568656138892,198129.45969398934,1.7249816443795145,1.0
3,10319.208483564846,4232.011249286035,4799.424838335224,61487.603305785095,6482.332421289962,139911.31886142993,1.21811494994057,1.0
4,3150.9098859333703,1875.6499745577748,2280.863649624662,11900.826446280991,6214.841646729762,124541.34697928565,0.9469486175246074,1.0
5,22049.37555198436,1965.3022228129703,858.3441144058743,6148.760330578512,6361.285135633064,135187.63517346553,1.0278975403664647,1.0
6,65106.30495875706,1439.6548059432535,0.03600973600987345,5950.413223140496,6270.447392655607,189512.69831263376,1.4409574974354102,1.0
7,87575.22575488198,5524.750536124804,4781.471669222432,59504.132231404954,6132.019716780734,212195.05098623244,1.613422490206384,1.0
8,31273.88937634822,3074.7474361489294,3596.5856651216163,83305.78512396694,6460.24310153754,153181.07390810348,1.1647104330125764,1.0
9,6812.4370567166925,5500.704521457868,9878.145492842508,39669.42148760331,10707.176700048716,105239.47180578353,0.916250200296081,1.0
10,106936.66219021229,4152.081512761972,181.06874422512192,3689.2561983471073,7502.06983704782,204955.82072913775,1.7844142370980611,1.0
11,9527.79971921838,2591.373032721167,5504.4109456587175,59504.13223140493,8441.313340043254,143625.13696397038,1.2504486981239098,1.0
12,52143.81644261057,2281.827181367815,-3.5211169348622207,29752.066115702488,6620.547176570798,161681.68841261033,1.4076551017440735,1.0
1,52067.71105256477,4435.545321189682,4578.796026668686,47603.30578512396,6080.2902124429265,159922.55276212923,1.3923394757299499,1.0
